Liczba punktów,KDTree Build [s],QuadTree Build [s],KDTree Search [s],QuadTree Search [s]
10000,0.11493706703186035,0.1766343116760254,0.0027201175689697266,0.0020906925201416016
20000,0.24012184143066406,0.3934330940246582,0.005328655242919922,0.004514932632446289
30000,3.206939697265625,1.2043242454528809,0.008270978927612305,0.007004499435424805
40000,1.1587169170379639,1.5815083980560303,0.012104272842407227,0.009781360626220703
50000,1.4114422798156738,1.678699254989624,0.014315366744995117,0.011768579483032227
60000,1.6232414245605469,2.1297478675842285,0.017132997512817383,0.013399362564086914
70000,1.8509676456451416,2.7404367923736572,0.021356821060180664,0.016438961029052734
80000,3.039435863494873,1.9515361785888672,0.022162914276123047,0.01923966407775879
90000,3.1679527759552,3.2438418865203857,0.024798870086669922,0.020568132400512695
100000,3.5855414867401123,2.3602423667907715,0.028681278228759766,0.022852182388305664
